,예상중량,제품명
2022-02-01,596.3985287095147,PEMA-PCR3000N
2022-02-08,1903.6893617676274,PEMA-PCR3000N
2022-02-15,332.063607994433,PEMA-PCR3000N
2022-02-22,0.0,PEMA-PCR3000N
2022-03-01,84.40352332420724,PEMA-PCR3000N
2022-03-08,140.658216540628,PEMA-PCR3000N
2022-03-15,5053.733783645187,PEMA-PCR3000N
2022-03-22,189.7167453037274,PEMA-PCR3000N
2022-03-29,3463.221145196966,PEMA-PCR3000N
2022-01-11,0.0,PEMA-SP1000
2022-01-18,0.0,PEMA-SP1000
2022-01-25,2964.3178667161483,PEMA-SP1000
2022-02-01,0.0,PEMA-SP1000
2022-02-08,5654.011752844449,PEMA-SP1000
2022-02-15,0.0,PEMA-SP1000
2022-02-22,0.0,PEMA-SP1000
2022-03-01,0.0,PEMA-SP1000
2022-03-08,0.0,PEMA-SP1000
2022-03-15,3227.8984227524275,PEMA-SP1000
2022-03-22,0.0,PEMA-SP1000
2022-03-29,7194.6821548793505,PEMA-SP1000
2022-01-11,0.0,SRE-200
2022-01-18,0.0,SRE-200
2022-01-25,0.0,SRE-200
2022-02-01,19085.672651341283,SRE-200
2022-02-08,0.0,SRE-200
2022-02-15,0.0,SRE-200
2022-02-22,0.0,SRE-200
2022-03-01,0.0,SRE-200
2022-03-08,0.0,SRE-200
2022-03-15,0.0,SRE-200
2022-03-22,10951.942697440472,SRE-200
2022-03-29,0.0,SRE-200
2022-01-11,44.167324728643955,PEMA-SPR
2022-01-18,36.99198615805489,PEMA-SPR
2022-01-25,43.29195464733206,PEMA-SPR
2022-02-01,43.718566621206314,PEMA-SPR
2022-02-08,45.02674078958492,PEMA-SPR
2022-02-15,2009.4766391165895,PEMA-SPR
2022-02-22,45.850325568628655,PEMA-SPR
2022-03-01,46.0406830805915,PEMA-SPR
2022-03-08,46.16489468565628,PEMA-SPR
2022-03-15,46.23586286410635,PEMA-SPR
2022-03-22,46.27932332644892,PEMA-SPR
