"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
PEMA013035322,3,PEMA-HR1500삼표(서부산),806782
PEMA033063700,3,PEMA-HR1000제일(포항),805758
PEMA023087900,3,PEMA-HR1500윤성(하빈),805144
PEMA013019701,3,PEMA-HR1000덕원(춘천),807755
PEMA013060901,3,PEMA-HR1000일양(양양),807817
PEMA043080500,3,PEMA-SR2000한진(울산),808868
PEMA053021700,3,PEMA-SR3000F동서(부산),783201
PEMA013010100,3,PEMA-HR1000남성(화성),765695
PEMA093050413,3,PR1000(AJU-4000PR)아주(가좌)_미얀마,808135
PEMA013002700,3,PEMA-HR1000경보(하동),780140
PEMA823048300,3,CSA5000한선(당진),804751
PEMA033021700,3,PEMA-HR1500동서(부산),781071
PEMA013047000,3,PEMA-HR1000신진(영광),774479
PEMA013901100,3,PEMA-HR1500산하(청주),804552
PEMA013072101,3,PEMA-SR3000F태명(천안),805474
PEMA353022500,3,PEMA-HR1500보성(창원),781177
PEMA023038000,3,CSA5000서원(태안),808150
PEMA013089220,3,PEMA-HR1000고려(천안),806581
PEMA013116700,3,PEMA-HR1000현진(동해),806750
PEMA013125900,2,PEMA-SP1000홍지(이천),808076
PEMA013129803,2,PEMA-PR2000삼일(부여),808761
PEMA023071000,2,PEMA-SR3000F충주산업(충주),805373
PEMA013004501,2,PEMA-HR1500공단(청주),804776
PEMA013057200,2,PEMA-HR1000F/A우경(진주),780043
PEMA013035700,2,PEMA-SR2000삼호(담양),808835
PEMA023113300,2,PEMA-HR1500동명(울산),808161
PEMA013000210,2,PEMA-HR1000가야(인천),806251
PEMA033114500,2,CSA5000우리도시(안성),808039
PEMA063048300,2,CSA5000석산(당진),765353
PEMA013024500,2,CSA5000동주(함양),773759
PEMA023061900,2,PEMA-HR1000정도(울진),804664
PEMA023002600,2,PEMA-SR3000F경동(부산),804199
PEMA023013000,2,PEMA-SR3000F대동(대구),783105
PEMA023031800,2,PEMA-HR1500삼덕(평택),806500
PEMA043046500,2,PEMA-SR3000F신일(송파),768685
PEMA013066700,2,PEMA-HR1000중원(광주),774604
PEMA013080117,2,PEMA-HR1000한일(성남),807620
PEMA033078017,2,PEMA-SR2000한라(온산),808816
PEMA033127000,2,PEMA-HR1000F/A15%창원(창원),808331
PEMA053040700,2,PEMA-HR1500성안(음성),775156
PEMA013052200,2,PEMA-SR2000영남(포항),782663
PEMA043045700,2,PEMA-HR1500신송(양산),808107
PEMA033030002,2,PEMA-HR1000부강(대전),807032
PEMA033048300,2,CSA5000서산(서산),765329
PEMA013021700,2,CSA5000동서(부산),779641
PEMA013109600,2,CSA4000홈센타(대구),805901
TSN4012032804,2,PEMA-SN400동림(부산),807757
PEMA023026300,2,PEMA-HR1500만수(정읍),775025
PEMA013078017,2,PEMA-HR1000한라(온산),806730
PEMA343022500,2,PEMA-HR1500동양(정관),781100
PEMA033079200,2,PEMA-HR1000한양(대구),804758
PEMA013091500,2,CSA5000울산(울산),804551
PEMA033035315,2,PEMA-HR1500삼표(오산),808831
PEMA053901700,2,PEMA-HR1500영양(영양),808771
PEMA373048300,2,PEMA-HR1000제일사(천북),766786
PEMA073022500,2,CSA5000F/A승일(함안),779430
PEMA043027100,2,PEMA-SR2000미래(나주),807874
PEMA023080800,2,PEMA-HR1500한진(김해),808027
PEMA053013600,2,PEMA-HR1000대산(군산),807426
PEMA013131000,2,PEMA-PR2000휴먼이엔티(천안),808781
PEMA013017400,2,PEMA-HR1000대원(군산한전주),774161
PEMA023039000,2,CSA5000석문(당진),808661
PEMA023061000,2,PEMA-HR1500일진(양평),804590
PEMA053048519,2,PEMA-SR2000쌍용(울산),808229
PEMA053061600,2,PEMA-HR1500전국(광양),808182
PEMA023117000,2,PEMA-SR3000F알파(공주),807334
PEMA013012600,2,CSA5000대동남(익산),773687
